Lead_ID,Customer_Name,Age,Gender,Region,Industry,Revenue_Potential,Lead_Source,Stage,Time_Spent_in_Stage_Days,Engagement_Score,Converted,Preferred_Contact_Method,Competitor_Consideration,Marketing_Spend,Discount_Offered,Customer_Feedback
LEAD000042,Customer_42,54,Male,West,Finance,60129.9,Website,Interest,35,99.53,0,Phone,0,3650.74,3.75,Positive
LEAD000043,Customer_43,71,Female,Central,Education,99207.24,Website,Purchase,97,9.12,0,Email,0,8245.6,1.97,Positive
LEAD000044,Customer_44,41,Other,East,Healthcare,60663.89,Cold Call,Intent,42,90.33,0,Email,0,5028.47,22.12,No Feedback
LEAD000045,Customer_45,22,Prefer Not to Say,South,Healthcare,47668.82,Cold Call,Interest,10,36.74,0,Email,0,9547.8,7.68,Neutral
LEAD000046,Customer_46,66,Male,North,Manufacturing,16007.36,Cold Call,Intent,60,9.08,0,Phone,0,2737.95,6.2,Positive
LEAD000047,Customer_47,67,Female,South,Retail,84474.8,Website,Interest,114,53.52,0,In-Person,0,2782.08,13.67,Negative
LEAD000048,Customer_48,26,Male,North,Finance,20648.99,Email,Intent,11,95.69,0,Email,0,1030.72,29.26,Negative
LEAD000049,Customer_49,47,Male,South,Travel,67951.09,Website,Evaluation,79,53.9,0,None,0,5713.25,0.44,Neutral
LEAD000050,Customer_50,28,Female,West,Travel,24866.93,Cold Call,Awareness,36,42.89,0,Chat,0,8804.55,8.74,Neutral
LEAD000051,Customer_51,57,Female,North,Travel,69996.39,Event,Interest,111,1.95,0,Phone,0,2706.9,14.95,No Feedback
LEAD000052,Customer_52,29,Female,West,Travel,5085.89,Email,Consideration,18,98.72,0,Email,0,2379.11,16.65,No Feedback
LEAD000053,Customer_53,37,Female,West,Travel,17937.51,SEO,Consideration,18,21.84,0,None,1,3014.5,24.09,Positive
LEAD000054,Customer_54,18,Male,South,Finance,72090.65,Email,Interest,28,97.65,0,Chat,0,4536.64,11.1,Positive
LEAD000055,Customer_55,49,Other,East,Education,59294.91,Social Media,Intent,9,26.42,0,Phone,0,5735.55,27.72,Positive
LEAD000056,Customer_56,33,Male,North,Finance,55827.91,Cold Call,Intent,31,43.55,0,Email,0,7920.03,5.86,Positive
LEAD000057,Customer_57,57,Female,West,Retail,9826.01,Cold Call,Consideration,114,4.52,0,Phone,0,8212.31,0.41,Negative
LEAD000058,Customer_58,66,Male,West,Technology,86236.84,Email,Awareness,114,50.06,0,None,0,114.85,11.65,Neutral
LEAD000059,Customer_59,58,Female,South,Education,63626.18,Event,Intent,81,2.85,0,In-Person,0,7179.12,10.45,Positive
LEAD000060,Customer_60,27,Male,South,Travel,57999.84,SEO,Interest,85,74.85,1,Chat,0,1781.93,4.31,Positive
LEAD000061,Customer_61,26,Female,East,Travel,96048.86,Event,Evaluation,50,57.85,1,None,0,9141.25,15.9,Positive
LEAD000062,Customer_62,38,Male,South,Retail,55353.62,Cold Call,Awareness,81,10.07,0,Chat,0,7420.77,29.17,Neutral
LEAD000063,Customer_63,52,Male,West,Travel,80849.54,Website,Consideration,66,59.24,0,Email,0,6685.64,26.09,Neutral
LEAD000064,Customer_64,50,Male,West,Healthcare,21862.01,Referral,Consideration,115,77.67,0,Email,0,8602.15,6.59,Neutral
LEAD000065,Customer_65,67,Female,Central,Retail,33285.49,Referral,Awareness,113,44.14,0,None,1,3698.06,19.7,Neutral
LEAD000066,Customer_66,70,Male,South,Finance,66200.46,SEO,Interest,11,19.71,0,Email,0,5423.78,15.19,Positive
LEAD000067,Customer_67,67,Male,North,Education,63182.97,Cold Call,Awareness,23,84.62,0,In-Person,0,4537.4,18.96,Negative
LEAD000068,Customer_68,55,Male,Central,Travel,9096.32,Email,Interest,84,21.94,0,Chat,0,5139.27,16.28,Positive
LEAD000069,Customer_69,45,Male,North,Retail,5924.05,SEO,Consideration,112,55.32,0,In-Person,0,615.2,3.47,Negative
LEAD000070,Customer_70,61,Female,East,Finance,21752.49,Email,Consideration,100,32.6,1,Phone,0,2141.48,22.84,Neutral
LEAD000071,Customer_71,44,Female,South,Finance,53618.66,Referral,Interest,83,30.48,0,None,0,6456.33,18.2,Neutral
LEAD000072,Customer_72,36,Male,South,Technology,77434.26,Referral,Intent,76,18.31,0,Email,1,9066.08,9.46,Positive
LEAD000073,Customer_73,62,Male,North,Finance,39196.5,Cold Call,Consideration,4,63.58,1,None,0,8952.8,12.29,Positive
LEAD000074,Customer_74,72,Female,West,Manufacturing,25554.47,Social Media,Consideration,83,86.95,0,Chat,0,7549.4,19.59,Neutral
LEAD000075,Customer_75,43,Male,East,Education,59306.21,Email,Awareness,86,1.25,0,Chat,0,7955.88,26.89,Neutral
LEAD000076,Customer_76,27,Male,South,Manufacturing,10341.79,Event,Interest,16,31.76,0,Chat,1,3631.62,17.0,Positive
LEAD000077,Customer_77,42,Male,West,Travel,17572.81,Cold Call,Awareness,12,82.05,0,Email,0,703.78,9.88,No Feedback
LEAD000078,Customer_78,18,Male,North,Retail,45556.31,Website,Awareness,99,67.9,0,None,0,8420.03,7.88,Negative
LEAD000079,Customer_79,68,Female,West,Finance,96684.58,SEO,Awareness,44,13.11,0,Email,0,8700.06,8.42,Positive
LEAD000080,Customer_80,65,Female,East,Travel,32975.19,SEO,Interest,43,39.69,1,In-Person,0,5920.52,29.59,No Feedback
LEAD000081,Customer_81,45,Male,East,Healthcare,85180.69,Email,Interest,40,89.52,1,None,0,1712.19,22.38,Negative
LEAD000082,Customer_82,47,Male,South,Manufacturing,97657.66,Cold Call,Awareness,83,62.43,0,Chat,0,8556.97,25.98,Negative
LEAD000083,Customer_83,21,Female,Central,Manufacturing,82339.27,Email,Awareness,46,82.2,0,None,0,3678.03,5.08,Neutral
LEAD000084,Customer_84,71,Female,East,Finance,44465.01,SEO,Interest,98,51.61,0,Email,0,3396.76,19.41,Positive
LEAD000085,Customer_85,52,Male,North,Manufacturing,81211.28,SEO,Awareness,41,24.16,0,None,0,8097.3,2.81,Neutral
LEAD000086,Customer_86,21,Female,North,Technology,4960.47,Social Media,Awareness,50,9.34,0,Phone,0,7888.71,26.27,Negative
LEAD000087,Customer_87,60,Female,South,Healthcare,86481.83,Social Media,Intent,97,71.9,0,Phone,0,8108.62,26.9,Neutral
LEAD000088,Customer_88,22,Male,West,Healthcare,49210.47,SEO,Interest,7,4.64,0,None,0,6870.83,2.0,Negative
LEAD000089,Customer_89,64,Female,South,Finance,45297.38,Email,Interest,96,31.56,1,None,0,5016.55,26.31,No Feedback
LEAD000090,Customer_90,21,Male,North,Education,73399.15,Email,Awareness,103,27.76,1,None,0,9706.77,20.35,Positive
LEAD000091,Customer_91,36,Prefer Not to Say,East,Travel,93146.58,Website,Interest,43,17.61,0,Email,0,5537.82,0.56,Neutral
LEAD000092,Customer_92,45,Female,North,Education,25811.76,Website,Consideration,66,55.42,0,Phone,0,8788.36,23.19,Neutral
LEAD000093,Customer_93,40,Female,Central,Travel,42650.79,Cold Call,Interest,18,99.12,0,None,0,7534.38,22.83,Negative
LEAD000094,Customer_94,73,Male,South,Technology,65244.7,Website,Consideration,14,87.92,1,Email,0,1313.55,0.99,Negative
LEAD000095,Customer_95,19,Male,South,Finance,60843.52,Cold Call,Purchase,4,22.14,0,None,0,9911.82,18.18,Positive
LEAD000096,Customer_96,45,Prefer Not to Say,East,Manufacturing,23861.84,Cold Call,Interest,18,8.56,0,Chat,0,9271.65,22.42,Negative
LEAD000097,Customer_97,59,Prefer Not to Say,North,Travel,2280.43,Website,Consideration,83,81.14,0,In-Person,0,5662.93,12.19,Positive
LEAD000098,Customer_98,28,Male,East,Finance,16718.2,Email,Awareness,56,68.95,0,Chat,0,9131.38,23.33,Positive
LEAD000099,Customer_99,64,Male,Central,Technology,4443.05,Referral,Consideration,34,64.17,0,Phone,0,3206.29,18.62,Neutral
LEAD000100,Customer_100,47,Male,South,Manufacturing,6514.39,Cold Call,Awareness,79,53.26,0,Chat,0,6922.0,24.84,Neutral
LEAD000101,Customer_101,39,Other,Central,Manufacturing,24948.34,Website,Awareness,12,73.35,0,In-Person,0,4444.54,19.95,Positive
LEAD000102,Customer_102,58,Female,North,Healthcare,72529.75,Website,Interest,107,51.57,0,None,0,7505.92,3.94,Neutral
LEAD000103,Customer_103,34,Male,East,Technology,26049.7,Email,Intent,84,51.65,1,Email,0,4078.33,11.37,Neutral
LEAD000104,Customer_104,41,Male,North,Manufacturing,22903.67,Email,Intent,91,38.76,0,None,1,714.92,5.0,Positive
LEAD000105,Customer_105,55,Prefer Not to Say,West,Manufacturing,63849.6,Social Media,Evaluation,87,81.23,0,Chat,0,392.18,18.48,Neutral
LEAD000106,Customer_106,53,Male,West,Manufacturing,56538.17,Social Media,Purchase,93,15.16,1,Email,0,8968.61,15.36,Neutral
LEAD000107,Customer_107,39,Female,West,Technology,51074.32,SEO,Awareness,26,88.09,0,Email,1,961.6,5.43,Positive
LEAD000108,Customer_108,30,Male,West,Technology,64771.56,SEO,Purchase,66,64.87,0,In-Person,0,2506.94,15.65,Positive
LEAD000109,Customer_109,43,Male,West,Travel,36026.1,Website,Awareness,3,60.36,0,None,0,1776.92,8.42,Positive
LEAD000110,Customer_110,58,Male,East,Travel,1977.5,Website,Consideration,85,92.13,1,Phone,0,4439.58,0.75,Positive
LEAD000111,Customer_111,70,Female,East,Finance,43287.4,Event,Awareness,37,64.7,0,Phone,0,8908.14,6.36,Positive
LEAD000112,Customer_112,54,Male,West,Manufacturing,36995.44,Referral,Awareness,55,21.11,0,Chat,0,2806.04,11.59,No Feedback
LEAD000113,Customer_113,36,Male,East,Healthcare,77299.52,Event,Interest,19,81.55,1,Phone,0,4500.82,11.27,Positive
LEAD000114,Customer_114,42,Female,South,Retail,9483.84,SEO,Awareness,36,94.1,0,None,0,9714.64,17.85,Negative
LEAD000115,Customer_115,36,Female,West,Technology,78220.6,Event,Interest,56,33.32,1,Phone,0,4368.38,23.22,Neutral
LEAD000116,Customer_116,70,Female,Central,Healthcare,71244.98,Referral,Awareness,50,26.71,0,Email,0,7249.02,22.21,Positive
LEAD000117,Customer_117,48,Female,Central,Healthcare,33751.84,Email,Awareness,93,67.01,0,Chat,0,2531.51,24.3,Positive
LEAD000118,Customer_118,34,Male,South,Education,62934.99,Website,Awareness,109,93.61,0,None,0,7042.75,15.26,Negative
LEAD000119,Customer_119,43,Male,South,Education,52900.01,Website,Awareness,66,29.43,1,In-Person,0,2486.76,0.71,No Feedback
LEAD000120,Customer_120,56,Female,Central,Retail,21677.7,Website,Consideration,14,34.56,0,Email,0,9803.17,0.68,Negative
LEAD000121,Customer_121,73,Female,South,Technology,90447.49,Referral,Intent,87,7.05,0,Email,0,3103.52,20.97,No Feedback
LEAD000122,Customer_122,61,Female,North,Technology,19377.19,Cold Call,Consideration,50,74.09,1,In-Person,0,5210.4,14.98,Negative
LEAD000123,Customer_123,65,Male,East,Education,14236.62,Cold Call,Interest,51,81.99,0,Email,0,3875.47,12.53,Positive
LEAD000124,Customer_124,62,Female,East,Finance,41282.58,Social Media,Evaluation,65,23.28,1,Phone,0,738.94,20.31,Negative
LEAD000125,Customer_125,25,Male,East,Travel,74428.08,Cold Call,Awareness,3,88.53,0,Email,1,9138.63,25.84,Neutral
LEAD000126,Customer_126,29,Female,North,Technology,22525.66,Event,Intent,51,48.86,0,In-Person,0,6757.56,8.06,Positive
LEAD000127,Customer_127,66,Male,North,Travel,86733.21,Social Media,Consideration,16,26.41,0,Email,0,8765.73,15.39,Positive
LEAD000128,Customer_128,43,Other,West,Education,57980.75,Cold Call,Awareness,99,59.03,0,Chat,0,4452.62,16.19,Neutral
LEAD000129,Customer_129,33,Male,South,Healthcare,19418.87,Social Media,Awareness,33,57.56,0,Email,0,9220.5,22.3,Negative
LEAD000130,Customer_130,65,Male,Central,Finance,54501.46,Email,Awareness,105,33.31,1,Chat,1,8038.39,0.69,Neutral
LEAD000131,Customer_131,59,Male,East,Manufacturing,23642.87,Email,Evaluation,103,65.53,1,Email,0,7207.99,21.48,Neutral
LEAD000132,Customer_132,50,Female,North,Education,20630.35,Referral,Intent,101,79.44,0,In-Person,0,2926.46,19.28,No Feedback
LEAD000133,Customer_133,72,Male,Central,Technology,15761.88,Referral,Evaluation,82,71.54,1,Email,0,5106.35,13.43,Positive
LEAD000134,Customer_134,34,Male,South,Finance,59040.8,Website,Awareness,92,37.39,0,Phone,0,5901.31,11.86,Negative
LEAD000135,Customer_135,22,Female,South,Retail,1489.6,Event,Awareness,44,81.71,1,None,0,1547.89,19.47,Neutral
LEAD000136,Customer_136,21,Other,Central,Manufacturing,95316.13,Email,Interest,89,66.48,0,Phone,0,7609.14,26.31,Neutral
LEAD000137,Customer_137,20,Female,West,Retail,3174.28,Referral,Interest,61,28.4,1,None,0,465.49,28.74,Positive
LEAD000138,Customer_138,18,Male,West,Retail,93054.05,Social Media,Interest,90,86.54,0,None,0,3302.96,28.46,Negative
LEAD000139,Customer_139,25,Male,North,Travel,33521.97,Email,Interest,104,2.74,1,Phone,0,6876.35,22.08,Neutral
LEAD000140,Customer_140,36,Male,North,Travel,57219.22,SEO,Intent,50,64.57,0,Email,0,8114.54,4.34,Positive
LEAD000141,Customer_141,43,Female,North,Travel,50267.59,Email,Intent,42,53.21,0,In-Person,0,1222.01,17.02,Neutral
LEAD000142,Customer_142,53,Male,West,Healthcare,31116.45,SEO,Intent,88,67.68,0,Chat,0,363.7,7.81,No Feedback
LEAD000143,Customer_143,63,Female,West,Education,31526.42,Social Media,Awareness,94,52.53,0,Email,1,6736.58,9.4,Neutral
LEAD000144,Customer_144,69,Female,South,Technology,13929.69,Social Media,Awareness,34,96.09,0,Phone,0,4995.51,10.02,Positive
LEAD000145,Customer_145,18,Female,North,Healthcare,34056.0,Email,Evaluation,56,33.95,1,Phone,0,6641.28,29.47,Neutral
LEAD000146,Customer_146,34,Female,South,Healthcare,63576.47,Event,Interest,96,27.8,0,Phone,0,6464.25,16.53,Negative
LEAD000147,Customer_147,53,Prefer Not to Say,Central,Finance,59388.24,Event,Interest,47,27.68,0,Chat,0,9988.77,26.82,Neutral
LEAD000148,Customer_148,55,Male,East,Finance,85527.98,Website,Intent,19,49.33,0,In-Person,0,6553.27,11.95,Negative
LEAD000149,Customer_149,45,Female,West,Education,22761.0,SEO,Awareness,107,66.41,0,In-Person,0,6203.76,7.91,Negative
LEAD000150,Customer_150,31,Female,West,Manufacturing,16577.57,Email,Interest,66,8.04,0,Email,0,6375.74,7.73,Positive
LEAD000151,Customer_151,62,Male,West,Healthcare,80542.69,SEO,Interest,37,91.36,1,Chat,0,6712.87,13.71,Positive
LEAD000152,Customer_152,39,Prefer Not to Say,Central,Education,80789.32,Email,Purchase,14,26.38,0,Email,0,4215.62,11.55,Positive
LEAD000153,Customer_153,53,Female,Central,Technology,72988.34,SEO,Intent,9,1.28,0,Chat,0,9692.72,1.25,Positive
LEAD000154,Customer_154,71,Male,East,Retail,14452.22,Website,Evaluation,93,92.56,0,In-Person,0,9540.79,15.23,Positive
LEAD000155,Customer_155,28,Female,South,Healthcare,89887.72,Email,Intent,19,23.86,0,In-Person,0,1237.75,1.25,Positive
LEAD000156,Customer_156,35,Male,West,Finance,40137.35,Social Media,Interest,82,66.24,0,None,0,8349.54,1.59,Negative
LEAD000157,Customer_157,65,Male,West,Manufacturing,35954.09,Cold Call,Awareness,43,3.54,1,None,0,9410.9,22.68,No Feedback
LEAD000158,Customer_158,21,Male,West,Retail,15154.61,SEO,Purchase,39,61.67,0,In-Person,0,2862.63,8.95,Positive
LEAD000159,Customer_159,69,Male,South,Travel,18295.77,Social Media,Awareness,54,26.94,1,Email,1,2836.94,29.0,Neutral
LEAD000160,Customer_160,59,Female,East,Travel,10173.11,Website,Consideration,50,19.95,0,Email,1,151.14,28.9,Neutral
LEAD000161,Customer_161,49,Female,North,Travel,53651.96,Website,Interest,44,6.31,0,Email,0,793.62,10.35,Negative
LEAD000162,Customer_162,32,Female,North,Retail,38190.91,Website,Intent,46,89.28,0,Phone,0,2156.16,29.13,Positive
LEAD000163,Customer_163,48,Female,South,Finance,15540.15,Email,Awareness,93,92.87,0,None,0,7603.65,29.78,Neutral
LEAD000164,Customer_164,47,Male,West,Education,67961.22,Event,Intent,84,82.71,0,Email,0,6185.61,16.22,Negative
LEAD000165,Customer_165,31,Male,South,Manufacturing,32956.76,Website,Interest,46,29.4,0,In-Person,0,7003.58,17.75,Neutral
LEAD000166,Customer_166,31,Male,South,Healthcare,67747.45,Social Media,Interest,81,0.01,0,Email,0,3850.62,12.43,Positive
LEAD000167,Customer_167,64,Male,West,Healthcare,80075.99,Social Media,Intent,38,24.1,1,In-Person,0,7778.21,3.59,Positive
LEAD000168,Customer_168,38,Female,Central,Healthcare,62910.86,Website,Consideration,113,58.77,0,In-Person,0,1692.79,12.48,Positive
LEAD000169,Customer_169,34,Female,West,Retail,1441.22,Cold Call,Intent,25,33.0,0,Chat,0,765.84,15.28,Positive
LEAD000170,Customer_170,68,Prefer Not to Say,North,Technology,28707.98,SEO,Consideration,43,13.3,0,Email,0,8947.21,15.23,No Feedback
LEAD000171,Customer_171,20,Male,East,Education,3043.6,Website,Evaluation,7,19.99,0,Chat,0,4729.73,22.26,Negative
LEAD000172,Customer_172,37,Female,West,Retail,36048.06,Social Media,Awareness,108,80.52,0,In-Person,0,3675.07,9.09,Neutral
LEAD000173,Customer_173,52,Male,West,Manufacturing,84025.5,Event,Awareness,113,31.36,1,In-Person,0,5914.19,11.88,Negative
LEAD000174,Customer_174,47,Female,South,Travel,81008.98,Email,Intent,32,13.45,0,Email,0,5908.16,6.33,Positive
LEAD000175,Customer_175,71,Female,South,Finance,16671.18,Referral,Awareness,56,59.66,1,Chat,0,4108.29,17.12,Positive
LEAD000176,Customer_176,51,Female,East,Technology,67748.4,Referral,Interest,78,57.09,0,Chat,1,2518.02,28.88,Positive
LEAD000177,Customer_177,54,Female,West,Retail,87800.99,Cold Call,Evaluation,36,40.1,0,In-Person,0,2588.03,20.65,Negative
LEAD000178,Customer_178,23,Female,North,Finance,86509.15,Social Media,Interest,11,50.77,0,Phone,0,4127.38,28.03,Neutral
LEAD000179,Customer_179,49,Female,East,Travel,80497.63,Website,Evaluation,106,25.83,0,In-Person,0,8691.14,24.04,Positive
LEAD000180,Customer_180,26,Male,East,Finance,24551.73,Social Media,Evaluation,33,69.57,0,None,0,9557.57,2.44,No Feedback
LEAD000181,Customer_181,59,Male,North,Travel,97469.46,Email,Intent,50,22.16,0,Email,0,7682.57,3.71,Positive
LEAD000182,Customer_182,50,Male,North,Technology,72012.34,Referral,Awareness,16,58.36,0,Chat,0,7108.92,11.2,Negative
LEAD000183,Customer_183,20,Female,North,Retail,69663.61,Event,Awareness,67,47.96,0,Email,0,9112.95,14.42,No Feedback
LEAD000184,Customer_184,44,Male,South,Retail,91929.94,Event,Evaluation,91,13.86,0,In-Person,1,1047.48,18.44,Negative
LEAD000185,Customer_185,72,Male,West,Travel,34703.09,Event,Intent,42,39.87,0,Chat,0,6081.72,7.34,Neutral
LEAD000186,Customer_186,49,Female,South,Education,45227.53,Email,Interest,111,51.62,0,Phone,0,1798.51,5.04,Positive
LEAD000187,Customer_187,73,Female,West,Education,43836.07,Social Media,Interest,10,3.24,0,Chat,0,4993.48,27.14,Negative
LEAD000188,Customer_188,54,Male,East,Finance,12074.46,Referral,Awareness,7,80.09,0,In-Person,0,2960.69,2.45,Positive
LEAD000189,Customer_189,26,Male,North,Education,29212.6,Website,Consideration,58,72.39,1,In-Person,0,1475.49,27.91,Neutral
LEAD000190,Customer_190,41,Female,West,Technology,70529.98,Social Media,Interest,47,25.6,1,Email,1,9069.09,10.04,Positive
LEAD000191,Customer_191,18,Male,West,Healthcare,4408.32,Website,Consideration,60,24.64,0,In-Person,0,2198.59,16.84,Neutral
LEAD000192,Customer_192,34,Female,North,Education,46490.2,Referral,Intent,20,31.52,0,Phone,0,9802.32,6.73,Positive
LEAD000193,Customer_193,57,Female,West,Retail,72511.13,Social Media,Interest,5,80.08,0,Email,0,262.25,15.31,Neutral
LEAD000194,Customer_194,63,Other,West,Retail,73700.48,Referral,Interest,84,90.08,0,Phone,0,8549.24,14.03,Neutral
LEAD000195,Customer_195,33,Female,South,Manufacturing,91593.1,Referral,Interest,62,17.34,0,None,0,9479.41,18.45,Neutral
LEAD000196,Customer_196,26,Female,East,Finance,56257.61,Social Media,Awareness,74,0.63,0,Email,0,4744.84,3.67,Neutral
LEAD000197,Customer_197,42,Female,North,Education,21135.37,Cold Call,Awareness,69,74.29,0,Chat,0,7843.79,26.16,Neutral
LEAD000198,Customer_198,33,Male,East,Manufacturing,77207.1,Email,Evaluation,38,43.75,1,Chat,0,1610.77,13.76,Neutral
LEAD000199,Customer_199,65,Male,North,Technology,50821.38,Website,Interest,4,65.44,0,In-Person,0,7486.72,15.33,Neutral
LEAD000200,Customer_200,33,Female,North,Finance,81501.46,Referral,Consideration,56,87.39,0,Phone,0,765.24,5.9,Positive
LEAD000201,Customer_201,44,Female,North,Healthcare,22448.44,Referral,Consideration,17,92.93,0,In-Person,0,9121.55,22.47,Neutral
LEAD000202,Customer_202,23,Female,North,Technology,1215.1,Social Media,Evaluation,42,40.6,1,None,0,8144.78,26.46,Negative
LEAD000203,Customer_203,56,Male,North,Finance,28429.96,Website,Interest,93,24.61,0,Email,0,8931.96,15.74,Neutral
LEAD000204,Customer_204,22,Female,Central,Finance,18700.82,Email,Evaluation,97,79.98,0,Phone,0,5049.32,0.78,No Feedback
LEAD000205,Customer_205,53,Female,Central,Education,71882.85,Cold Call,Purchase,60,37.75,0,Chat,1,7607.03,17.74,Neutral
LEAD000206,Customer_206,63,Female,West,Manufacturing,50443.19,Referral,Intent,26,9.81,1,None,0,9711.32,7.54,Negative
LEAD000207,Customer_207,41,Male,West,Healthcare,37694.89,Social Media,Intent,117,72.58,0,Phone,0,8645.09,25.81,No Feedback
LEAD000208,Customer_208,68,Female,South,Healthcare,8162.76,Referral,Purchase,114,74.19,0,Phone,0,3152.04,10.7,No Feedback
LEAD000209,Customer_209,60,Female,East,Technology,21734.36,Referral,Consideration,81,20.27,0,Email,0,5815.47,29.83,Negative
